uri,name
http://www.wikidata.org/entity/Q417651,AKH
http://www.wikidata.org/entity/Q4653445,AP
http://www.wikidata.org/entity/Q2420980,Abd al Malik
http://www.wikidata.org/entity/Q62808485,Ademo
http://www.wikidata.org/entity/Q4700030,Ak47
http://www.wikidata.org/entity/Q2828990,Aketo
http://www.wikidata.org/entity/Q3007059,Alexandre Miranda
http://www.wikidata.org/entity/Q2836068,Ali
http://www.wikidata.org/entity/Q2829362,Alkpote
http://www.wikidata.org/entity/Q80952592,Amalek
http://www.wikidata.org/entity/Q3016572,Areno Jaz
http://www.wikidata.org/entity/Q16646093,Ateyaba
http://www.wikidata.org/entity/Q597359,Axiom
http://www.wikidata.org/entity/Q2824068,Barack
http://www.wikidata.org/entity/Q2824068,Barack Adama
http://www.wikidata.org/entity/Q2895286,Ben-J
http://www.wikidata.org/entity/Q2902325,Big Red
http://www.wikidata.org/entity/Q42715516,Bigflo
http://www.wikidata.org/entity/Q72932755,Billy Bob Morrison Scott Billy
http://www.wikidata.org/entity/Q2905414,Black M
http://www.wikidata.org/entity/Q2905414,Black Mesrimes
http://www.wikidata.org/entity/Q880598,Black Thought
http://www.wikidata.org/entity/Q59851003,Blu Samu
http://www.wikidata.org/entity/Q26211821,Boef
http://www.wikidata.org/entity/Q642477,"Booba, B20ba"
http://www.wikidata.org/entity/Q29375596,Boostee
http://www.wikidata.org/entity/Q2921537,Bouga
http://www.wikidata.org/entity/Q2928775,Busta Flex
http://www.wikidata.org/entity/Q483683,CL
http://www.wikidata.org/entity/Q28421664,Calbo
http://www.wikidata.org/entity/Q111470436,Cameroon's Fastest Rapper
http://www.wikidata.org/entity/Q2936160,Canardo
http://www.wikidata.org/entity/Q1047136,Casey
http://www.wikidata.org/entity/Q24689203,Charo
http://www.wikidata.org/entity/Q417651,Chill
http://www.wikidata.org/entity/Q111522310,Coco jojo
http://www.wikidata.org/entity/Q15713551,Coely
http://www.wikidata.org/entity/Q72932755,Comillas
http://www.wikidata.org/entity/Q1160865,Cut Killer
http://www.wikidata.org/entity/Q42349707,D.Ace
http://www.wikidata.org/entity/Q17579958,DJ DX
http://www.wikidata.org/entity/Q86735855,Da Uzi
http://www.wikidata.org/entity/Q1274944,Daddy Kery
http://www.wikidata.org/entity/Q3011782,Dadoo
http://www.wikidata.org/entity/Q26255308,Damso
http://www.wikidata.org/entity/Q3016572,Darryl Zeuja
http://www.wikidata.org/entity/Q30114613,Deen Burbigo
http://www.wikidata.org/entity/Q3021163,Def Bond
http://www.wikidata.org/entity/Q24578944,Demi Portion
http://www.wikidata.org/entity/Q2205546,Demon One
http://www.wikidata.org/entity/Q1228700,Disiz La Peste
http://www.wikidata.org/entity/Q1233700,Doc Gynéco
http://www.wikidata.org/entity/Q7002140,Doomams
http://www.wikidata.org/entity/Q3037333,Dosseh
http://www.wikidata.org/entity/Q3040166,Dry
http://www.wikidata.org/entity/Q42150367,Eddy de Pretto
http://www.wikidata.org/entity/Q60143329,Edgar Sekloka
http://www.wikidata.org/entity/Q96209972,Egountchi Behanzin
http://www.wikidata.org/entity/Q28950351,Elzo JamDong
http://www.wikidata.org/entity/Q72932755,Emil Cerda Demorizi
http://www.wikidata.org/entity/Q72932755,Emil Emil
http://www.wikidata.org/entity/Q45755556,Evän Devillard
http://www.wikidata.org/entity/Q3063489,Faada Freddy
http://www.wikidata.org/entity/Q3066691,Faouzi Tarkhani
http://www.wikidata.org/entity/Q28837265,Fianso
http://www.wikidata.org/entity/Q2882658,Flip Kowlier
http://www.wikidata.org/entity/Q3074644,Flynt
http://www.wikidata.org/entity/Q56312402,Freeze Corleone
http://www.wikidata.org/entity/Q36695463,Georgio
http://www.wikidata.org/entity/Q3303251,Gims
http://www.wikidata.org/entity/Q19410234,Gradur
http://www.wikidata.org/entity/Q18744760,Gringe
http://www.wikidata.org/entity/Q3120713,Guizmo
http://www.wikidata.org/entity/Q3123735,Gérard Baste
http://www.wikidata.org/entity/Q17386004,H Magnum
http://www.wikidata.org/entity/Q3126403,Hamed Daye
http://www.wikidata.org/entity/Q17629798,Hayce Lemsi
http://www.wikidata.org/entity/Q108221758,Headmess
http://www.wikidata.org/entity/Q3134550,Hervé Lardic
http://www.wikidata.org/entity/Q57240437,Heuss l'Enfoiré
http://www.wikidata.org/entity/Q28494480,Hippocampe Fou
http://www.wikidata.org/entity/Q42165021,Hornet La Frappe
http://www.wikidata.org/entity/Q100381305,Huero
http://www.wikidata.org/entity/Q27999521,Ibn Qassim
http://www.wikidata.org/entity/Q3156543,J'L'Tismé
http://www.wikidata.org/entity/Q86675858,J.O.$
http://www.wikidata.org/entity/Q86675858,J.O.S
http://www.wikidata.org/entity/Q7002144,JR O Chrome
http://www.wikidata.org/entity/Q16905948,Jackson Wang
http://www.wikidata.org/entity/Q3176526,Jeff Le Nerf
http://www.wikidata.org/entity/Q3482680,Jo
http://www.wikidata.org/entity/Q18744698,Jo Dalton
http://www.wikidata.org/entity/Q3482680,Jo L'Indien
http://www.wikidata.org/entity/Q762906,JoeyStarr
http://www.wikidata.org/entity/Q63148061,Jok'Air
http://www.wikidata.org/entity/Q86675858,Josman
http://www.wikidata.org/entity/Q3016572,Jupiter Jaz
http://www.wikidata.org/entity/Q112723099,KS Bloom
http://www.wikidata.org/entity/Q15635447,Kaaris
http://www.wikidata.org/entity/Q48308125,Kalash Criminel
http://www.wikidata.org/entity/Q1722909,Kamelanc'
http://www.wikidata.org/entity/Q2437109,Kamini
http://www.wikidata.org/entity/Q15150776,Kasspapazo
http://www.wikidata.org/entity/Q42493,Katy Perry
http://www.wikidata.org/entity/Q50918288,KeBlack
http://www.wikidata.org/entity/Q1274944,Kery James
http://www.wikidata.org/entity/Q60180020,KillASon
http://www.wikidata.org/entity/Q60373974,Koba LaD
http://www.wikidata.org/entity/Q246518,Kool Shen
http://www.wikidata.org/entity/Q24689203,Korozifu
http://www.wikidata.org/entity/Q3201706,L'Algérino
http://www.wikidata.org/entity/Q24578941,L'Hexaler
